observer,gender,motion_dir,grating_ori,key_resp,grating_deg,contrast,spf,tf_hz,stim_secs,frame_rate_hz,correct,rt,grating_start,grating_end
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.333,0.017,1,0.105,17.965,18.082
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.327,0.017,1,0.260,21.357,21.625
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.287,0.017,1,0.656,24.549,25.220
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.252,0.017,1,0.228,28.109,28.343
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.221,0.017,1,0.354,31.384,31.753
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.194,0.017,1,0.289,35.027,35.329
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.169,0.017,1,0.251,38.320,38.588
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.146,0.017,1,0.396,41.294,41.696
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.124,0.017,1,0.405,43.851,44.270
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.104,0.017,1,0.335,46.508,46.861
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.085,0.017,1,0.674,49.632,50.319
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.066,0.017,1,1.036,53.427,54.481
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.048,0.017,1,1.160,56.618,57.789
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.033,0.017,1,0.459,60.479,60.947
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.033,0.017,1,0.519,63.637,64.173
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.033,0.017,1,0.955,66.394,67.365
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.033,0.017,1,0.640,69.587,70.240
2019-10-29-140253,?,1,0,right,4.00,0.950,1.000,4.000,0.033,0.017,0,1.370,73.948,75.319
2019-10-29-140253,?,-1,0,left,4.00,0.950,1.000,4.000,0.051,0.017,0,0.658,77.424,78.083
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.096,0.017,1,0.376,80.783,81.169
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.086,0.017,1,0.736,84.376,85.129
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.078,0.017,1,0.501,87.618,88.137
2019-10-29-140253,?,-1,0,left,4.00,0.950,1.000,4.000,0.069,0.017,0,0.626,89.707,90.334
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.105,0.017,1,0.517,92.899,93.434
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.097,0.017,1,0.679,96.492,97.177
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.090,0.017,1,0.488,98.865,99.368
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.083,0.017,1,0.366,101.488,101.874
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.077,0.017,1,0.481,104.363,104.864
2019-10-29-140253,?,-1,0,right,4.00,0.950,1.000,4.000,0.071,0.017,1,0.684,107.772,108.475
2019-10-29-140253,?,1,0,left,4.00,0.950,1.000,4.000,0.065,0.017,1,0.425,110.880,111.315
