Sex,log_contrast,log_motion,mental_rot
Female,-1.7975262224739177,-2.2902536457347216,28
Female,-1.469374679832805,-2.2169448108963197,15
Male,-1.9159717940647671,-2.310970582495449,30
Female,-1.7249625664967982,-2.7340307611734653,24
Female,-1.712252141448211,-2.1357896979902558,28
Female,-1.9681839422896255,-1.7753496733027823,21
Female,-1.8129314346892937,-2.3671031637161595,28
Female,-1.6511366133353456,-2.45782220983238,35
Female,-1.9174077846903101,-2.225205703937761,30
Female,-1.895815231530193,-2.346884360249863,36
Female,-1.5452397468865833,-2.2522471823603736,16
Female,-1.9415882609301476,-2.3615516319812584,27
Female,-1.7817018046881214,-2.3005180434523287,33
Female,-1.7894677810095423,-2.380751799606296,23
Female,-1.8091697238730344,-2.2097629588461505,25
Male,-1.8839248113985505,-2.6180849280804455,25
Female,-1.8953309438864847,-2.406745762875401,20
Female,-1.818740471113026,-2.0659653248402594,18
Male,-1.7782898887967216,-2.6793770006030306,37
Female,-1.8883674957412973,-2.3161305970120174,28
Male,-1.955628679059922,-2.628290459604377,36
Male,-1.927161272511261,-2.633668357475088,40
Male,-1.7599298383198834,-2.434273492405289,33
Female,-1.7489278814214528,-2.2123912622931514,30
Female,-1.5233753500675147,-2.431579873581824,24
Male,-1.9018094580330809,-2.5245441865101843,28
Female,-1.7935740766127364,-2.328109875721252,26
Male,-1.8983819027092361,-2.6516084674547407,26
Female,-1.8111866859568013,-2.546075772729113,27
Male,-1.8600123927267869,-2.606112960184206,40
Female,-1.7559606543142385,-2.3240275025540376,20
Male,-1.7130528142572565,-2.7683761031978795,28
Female,-1.7989980882577725,-2.4183889481731597,31
Female,-1.7873041954116973,-2.4532493024557285,30
Female,-1.9423085940801221,-2.337072231021058,26
Female,-1.3280932353114991,-2.1691388854569023,27
Female,-1.5196197591087948,-2.3726631212738103,23
Female,-1.9027218314092995,-1.8795994415190709,26
Female,-1.5171754386773306,-1.9244041545573356,15
Female,-1.831747030418267,-2.272811251026958,25
Female,-1.8539335014492233,-2.521799421366148,33
Male,-1.8869471908831381,-2.6021779918714327,25
Male,-1.8506954873915489,-2.36684575434253,21
Female,-1.8415038955843144,-2.023625533272037,27
Female,-1.774264505238295,-2.4732232618221293,40
Female,-1.8269101384795905,-2.394316613842429,26
Female,-1.8763272069434282,-2.311410973042244,39
Female,-1.70724330594428,-2.324609028725032,32
Female,-1.7957467840061943,-2.41209841688014,27
Female,-1.9064232732377886,-2.4827848047051058,32
Female,-1.8014873970158833,-2.333332337406091,35
Female,-1.8103375075692385,-2.1380072946190545,28
Female,-1.5311645611202738,-2.438182129370434,24
Female,-1.894596815632708,-2.366367888784769,26
Female,-1.8484009409550715,-2.0456404940782487,28
Female,-1.7955110310523001,-2.4041527476274145,19
Female,-1.8311808280291235,-2.415841286030213,23
Male,-1.7998505813403822,-2.3212303783339983,38
Female,-1.9082671649793859,-1.9577231623676463,21
Male,-1.9310340481648807,-2.3256755577490065,18
Male,-1.8924425339241464,-2.2131910123385956,37
Female,-1.697969942370409,-2.1272108261755744,34
Female,-1.3688728155437728,-2.3397797094217787,28
