mental_rot,log_contrast,log_motion,Sex,Masculine_hobbies
28,-1.7975262224739177,-2.2902536457347216,Female,3.2
15,-1.469374679832805,-2.2169448108963197,Female,3.6
30,-1.9159717940647671,-2.310970582495449,Male,4.8
24,-1.7249625664967982,-2.7340307611734653,Female,2.73333333333333
28,-1.712252141448211,-2.1357896979902558,Female,2.86666666666667
21,-1.9681839422896255,-1.7753496733027823,Female,3.33333333333333
28,-1.8129314346892937,-2.3671031637161595,Female,2.66666666666667
35,-1.6511366133353456,-2.45782220983238,Female,2.53333333333333
30,-1.9174077846903101,-2.225205703937761,Female,2.8
36,-1.895815231530193,-2.346884360249863,Female,2.86666666666667
16,-1.5452397468865833,-2.2522471823603736,Female,2.6
27,-1.9415882609301476,-2.3615516319812584,Female,3
33,-1.7817018046881214,-2.3005180434523287,Female,3.4
23,-1.7894677810095423,-2.380751799606296,Female,4.06666666666667
25,-1.8091697238730344,-2.2097629588461505,Female,2.8
25,-1.8839248113985505,-2.6180849280804455,Male,4.4
20,-1.8953309438864847,-2.406745762875401,Female,2.86666666666667
18,-1.818740471113026,-2.0659653248402594,Female,1.66666666666667
37,-1.7782898887967216,-2.6793770006030306,Male,4.2
28,-1.8883674957412973,-2.3161305970120174,Female,3.66666666666667
36,-1.955628679059922,-2.628290459604377,Male,3.26666666666667
40,-1.927161272511261,-2.633668357475088,Male,3.33333333333333
33,-1.7599298383198834,-2.434273492405289,Male,3.26666666666667
30,-1.7489278814214528,-2.2123912622931514,Female,2.66666666666667
24,-1.5233753500675147,-2.431579873581824,Female,2.86666666666667
28,-1.9018094580330809,-2.5245441865101843,Male,3.13333333333333
26,-1.7935740766127364,-2.328109875721252,Female,3.53333333333333
26,-1.8983819027092361,-2.6516084674547407,Male,3.53333333333333
27,-1.8111866859568013,-2.546075772729113,Female,3.73333333333333
40,-1.8600123927267869,-2.606112960184206,Male,3.53333333333333
20,-1.7559606543142385,-2.3240275025540376,Female,2.93333333333333
28,-1.7130528142572565,-2.7683761031978795,Male,3.86666666666667
31,-1.7989980882577725,-2.4183889481731597,Female,2.33333333333333
30,-1.7873041954116973,-2.4532493024557285,Female,4.2
26,-1.9423085940801221,-2.337072231021058,Female,2.4
27,-1.3280932353114991,-2.1691388854569023,Female,1.86666666666667
23,-1.5196197591087948,-2.3726631212738103,Female,2.66666666666667
26,-1.9027218314092995,-1.8795994415190709,Female,2.86666666666667
15,-1.5171754386773306,-1.9244041545573356,Female,1.8
25,-1.831747030418267,-2.272811251026958,Female,2.46666666666667
33,-1.8539335014492233,-2.521799421366148,Female,3.33333333333333
25,-1.8869471908831381,-2.6021779918714327,Male,3.46666666666667
21,-1.8506954873915489,-2.36684575434253,Male,4.26666666666667
