"Participant","Sex","Race","Age","School_year","Major","Handedness","Glasses","Acuity","Color_vision","Stereo_amin","motion_dur_thr","motion_dur_thr_mean","motion_dur_thr_sd","contrast_thr","contrast_thr_mean","contrast_thr_sd","vocab","Vocabulary_scores_cor_num","mental_rot","Mental_Rotation_scores_both","Feminine_hobbies","Masculine_hobbies","hobby_mean","femscale","masscale","Golf","Painting","Dancing","Going to rock concerts","Going to parties","Home electronics","Going to amusement parks","Going to art galleries","Going to church groups","Writing poetry","Surfing","Volleyball","Entertaining others","Trying new fashions","Aerobics","Travelling","Computers","Video games","Talking on phone with friends","Clothes shopping","Romance novels","Reading science fiction","Watching violent movies","Sailing","Going to car shows","Singing","Swimming","Collecting stamps","Collecting CDs","Photography","Fishing","Drawing","Going out to drink with friends","Poker","Playing basketball","Listening to religious music","Going to formal dress affairs","Going to night clubs","TV sports","Skiing","Football","Camping","Cooking","Weight lifting","Going to movies","Playing a musical instrument","Raising pets","Working on cars","Going to shows and plays","Knitting","Going out on dates","“Thriller” movies","Romance movies","Going out to dinner with friends","Going to museums","House plants","Drag racing","Collecting coins","Collecting stuffed animals","Collecting pictures of friends and family"
"119","Female","White","18-19","1st","Political Science","right",NA,"20/16",NA,"40",0.101240779305036,0.104296806668282,0.0176589720369996,0.165708307093168,0.194088376970547,0.0731902109974592,7.25,13,28,8,4.13636363636364,3.2,3.65,0.486363636363637,-0.45,3,5,5,2,5,5,4,4,3,2,4,4,5,5,4,5,5,4,5,5,4,1,2,5,1,3,5,2,1,4,1,4,3,4,4,2,4,4,4,4,4,2,3,2,4,3,4,2,4,2,5,4,5,5,5,5,3,2,4,5
"110","Female","Black","18-19","1st","Psychology and BioBehavioral Health","left",NA,"20/16",NA,"40",0.108941437595919,0.108550001352596,0.0067023308651914,0.230069307192277,0.230949497323159,0.0712668170378147,6,10,15,2,4.18181818181818,3.6,3.86666666666667,0.315151515151515,-0.266666666666667,2,4,5,2,5,4,5,4,1,3,3,5,5,5,4,5,5,5,5,5,4,3,4,3,3,4,5,3,3,5,3,4,5,3,5,3,4,5,5,3,5,3,5,2,5,2,2,2,5,2,4,5,5,5,4,3,3,2,4,5
"121","Male","White","18-19","1st","Supply Chain Management","right",NA,"20/16",NA,"40",0.0991649570648404,0.104963122464618,0.0162243005492062,0.147198716218844,0.147202725223062,0.00540312144558858,8.5,14,30,12,3.31818181818182,4.8,3.93333333333333,-0.615151515151515,0.866666666666667,5,2,1,2,5,5,5,3,4,1,5,5,5,4,5,5,4,4,5,5,1,2,4,5,5,1,5,1,1,5,5,3,5,5,5,4,4,5,5,5,5,5,4,5,5,3,5,5,3,1,5,5,4,5,3,3,5,3,1,5
"123","Female","White","20-21","2nd","Psychology","right",NA,"20/16",NA,"40",0.0649569353865048,0.0658583934101097,0.00724523877878333,0.178179721539238,0.182696592527051,0.0398500216370414,14.75,19,24,11,3.68181818181818,2.73333333333333,3.31666666666667,0.365151515151515,-0.583333333333333,2,4,4,4,5,5,5,3,3,2,3,5,5,4,3,5,4,3,4,5,4,3,2,3,2,3,2,1,1,4,4,3,5,3,2,1,4,4,4,3,3,4,5,2,4,3,5,1,4,2,5,1,5,5,3,3,1,1,1,5
"125","Female","White","18-19","1st","Biobehavioral Health","right",NA,"20/16",NA,"40",0.118151249721571,0.115970496332279,0.0105275210696942,0.180458915613266,0.218529608624813,0.0905733365349129,7.5,13,28,9,3.45454545454545,2.86666666666667,3.23333333333333,0.221212121212121,-0.366666666666667,4,4,4,2,5,3,4,2,4,3,4,4,5,5,5,2,3,2,3,4,3,1,1,3,2,4,5,1,1,4,3,5,5,3,3,4,4,3,4,1,5,1,5,4,4,5,5,1,4,2,4,2,3,5,1,2,1,1,2,5
"127","Female","White","20-21","3rd","psychology","right",NA,"20/16",NA,"40",0.1694241960222,0.179076034476879,0.0558715659406304,0.139710348022251,0.141104107945918,0.00671127352425403,6,12,21,4,3.31818181818182,3.33333333333333,3.26666666666667,0.0515151515151517,0.0666666666666669,1,2,4,1,4,4,5,3,2,1,3,4,4,4,5,5,3,2,2,4,1,1,5,5,2,2,4,1,1,3,4,2,5,3,3,2,5,5,5,3,5,3,4,5,2,3,5,3,3,2,5,5,5,5,4,4,2,1,1,4
"320","Female","White","18-19","1st","bachelor of fine arts in acting","right",NA,"20/16",NA,"40",0.0937519172460533,0.0920912193582944,0.00429524481972067,0.163175097867754,0.160216635611771,0.0206060748527344,9.25,11,28,11,4.13636363636364,2.66666666666667,3.5,0.636363636363637,-0.833333333333333,2,5,5,5,5,4,5,4,4,2,3,2,5,5,4,5,5,3,4,4,4,1,4,3,2,5,4,1,1,5,1,1,5,1,1,4,4,4,3,1,5,3,5,3,5,4,5,2,5,2,4,5,5,5,4,4,1,1,1,5
"112","Female","White","20-21","3rd","psychology","right",NA,"20/16",NA,"40",0.0856212131098237,0.113736980306714,0.066051225100038,0.191831746140243,0.264884439517065,0.162687568053099,5,11,35,16,3.04545454545455,2.53333333333333,2.83333333333333,0.212121212121212,-0.3,5,5,2,4,4,4,4,4,1,1,1,2,2,2,2,5,5,3,5,4,1,1,5,1,1,1,5,1,1,5,2,1,5,4,1,1,1,4,2,1,1,1,5,1,5,5,1,1,5,1,5,5,5,5,5,5,2,1,1,1
"114","Female","White","18-19","1st","undecided","right",NA,"20/16",NA,"40",NA,NA,NA,0.283401175955111,0.317506085047587,0.16490223312902,3.75,10,15,1,3.54545454545455,2.93333333333333,3.33333333333333,0.212121212121212,-0.4,3,4,4,4,5,4,5,2,4,1,1,4,3,4,2,5,5,5,5,5,4,2,3,3,3,3,4,2,2,4,4,3,3,4,3,3,4,4,2,3,3,3,3,2,4,3,5,1,4,3,3,4,4,5,2,3,1,2,3,4
"129","Female","Asian","18-19","1st","Marketing","right",NA,"20/16",NA,"40",0.108045191027504,0.105591238484805,0.0165459136509656,0.146987491936603,0.149044894762881,0.0116463233797819,2.75,9,30,11,4,2.8,3.55,0.45,-0.75,2,2,3,1,5,3,5,4,3,2,4,3,4,3,5,5,3,2,4,4,4,4,2,4,2,4,5,2,2,5,4,2,5,1,3,2,5,3,4,4,5,5,5,3,5,4,5,2,3,2,4,5,5,5,4,4,2,2,4,5
