paradigm,study,grating_deg,grating_sf,grating_tf
contrast_sensitivity,abramov_12,3.5,0.6,1
contrast_sensitivity,abramov_12,3.5,1,1
contrast_sensitivity,abramov_12,3.5,2,1
contrast_sensitivity,abramov_12,3.5,5,1
contrast_sensitivity,abramov_12,3.5,12,1
contrast_sensitivity,abramov_12,3.5,24.4,1
contrast_sensitivity,abramov_12,3.5,0.6,4
contrast_sensitivity,abramov_12,3.5,1,4
contrast_sensitivity,abramov_12,3.5,2,4
contrast_sensitivity,abramov_12,3.5,5,4
contrast_sensitivity,abramov_12,3.5,12,4
contrast_sensitivity,abramov_12,3.5,24.4,4
contrast_sensitivity,abramov_12,3.5,0.6,8
contrast_sensitivity,abramov_12,3.5,1,8
contrast_sensitivity,abramov_12,3.5,2,8
contrast_sensitivity,abramov_12,3.5,5,8
contrast_sensitivity,abramov_12,3.5,12,8
contrast_sensitivity,abramov_12,3.5,24.4,8
contrast_sensitivity,abramov_12,3.5,0.6,15
contrast_sensitivity,abramov_12,3.5,1,15
contrast_sensitivity,abramov_12,3.5,2,15
contrast_sensitivity,abramov_12,3.5,5,15
contrast_sensitivity,abramov_12,3.5,12,15
contrast_sensitivity,abramov_12,3.5,24.4,15
contrast_sensitivity,abramov_12,3.5,0.6,24
contrast_sensitivity,abramov_12,3.5,1,24
contrast_sensitivity,abramov_12,3.5,2,24
contrast_sensitivity,abramov_12,3.5,5,24
contrast_sensitivity,abramov_12,3.5,12,24
contrast_sensitivity,abramov_12,3.5,24.4,24
