targetSide	oriIncrement	correct
90	0.500	1
90	0.450	1
90	0.400	1
90	0.350	1
0	0.300	1
90	0.250	1
0	0.200	1
90	0.150	1
90	0.100	1
90	0.050	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
90	0.000	1
90	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
0	0.000	1
