13.3688 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
14.4474 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12a516da0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12abc4160>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1440]), stereo=False, units='deg', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.4474 	EXP 	window1: recordFrameIntervals = False
14.6136 	EXP 	window1: recordFrameIntervals = True
14.7971 	EXP 	window1: recordFrameIntervals = False
15.0941 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
15.0965 	EXP 	Created fixation = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color='black', colorSpace='named', contrast=1.0, depth=-2.0, interpolate=True, mask='gauss', maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([1., 1.]), tex=None, texRes=128, units='deg', win=Window(...))
15.0985 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color='white', colorSpace='named', contrast=1.0, depth=-3.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([1., 1.]), tex='sin', texRes=128, units='deg', win=Window(...))
15.1257 	EXP 	Created thanksMsg = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='thanksMsg', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
15.1644 	EXP 	instrText: autoDraw = True
16.8687 	DATA 	Keypress: right
16.9171 	EXP 	Imported stairDefinitions.xlsx as conditions, 4 conditions, 9 params
17.1054 	EXP 	window1: recordFrameIntervals = False
17.1153 	EXP 	instrText: autoDraw = False
17.1153 	EXP 	grating: color = '[0.5 0.5 0.5] (rgb)'
17.1153 	EXP 	grating: size = array([3.6, 3.6])
17.1153 	EXP 	grating: ori = 90.0
17.1153 	EXP 	grating: sf = array([1.2, 1.2])
17.1154 	EXP 	window1: recordFrameIntervals = False
17.3825 	EXP 	fixation: autoDraw = True
17.8646 	EXP 	fixation: autoDraw = False
18.1316 	EXP 	grating: autoDraw = True
18.6010 	DATA 	Keypress: right
18.6652 	EXP 	window1: recordFrameIntervals = False
18.6825 	EXP 	fixation: autoDraw = False
18.6825 	EXP 	grating: autoDraw = False
18.6825 	EXP 	grating: color = '[0.001 0.001 0.001] (rgb)'
18.6825 	EXP 	grating: size = array([3.6, 3.6])
18.6825 	EXP 	grating: ori = 0.0
18.6825 	EXP 	grating: sf = array([12., 12.])
18.6826 	EXP 	window1: recordFrameIntervals = False
18.9323 	EXP 	fixation: autoDraw = True
19.4333 	EXP 	fixation: autoDraw = False
19.6822 	EXP 	grating: autoDraw = True
21.5852 	DATA 	Keypress: left
21.5866 	EXP 	window1: recordFrameIntervals = False
21.6010 	EXP 	fixation: autoDraw = False
21.6010 	EXP 	grating: autoDraw = False
21.6010 	EXP 	grating: color = '[0.5 0.5 0.5] (rgb)'
21.6010 	EXP 	grating: size = array([3.6, 3.6])
21.6010 	EXP 	grating: ori = 0.0
21.6010 	EXP 	grating: sf = array([12., 12.])
21.6011 	EXP 	window1: recordFrameIntervals = False
21.8677 	EXP 	fixation: autoDraw = True
22.3534 	EXP 	fixation: autoDraw = False
22.6036 	EXP 	grating: autoDraw = True
23.3045 	DATA 	Keypress: left
23.3059 	EXP 	window1: recordFrameIntervals = False
23.3191 	EXP 	fixation: autoDraw = False
23.3191 	EXP 	grating: autoDraw = False
23.3191 	EXP 	grating: color = '[0.001 0.001 0.001] (rgb)'
23.3191 	EXP 	grating: size = array([3.6, 3.6])
23.3191 	EXP 	grating: ori = 90.0
23.3191 	EXP 	grating: sf = array([1.2, 1.2])
23.3192 	EXP 	window1: recordFrameIntervals = False
23.5852 	EXP 	fixation: autoDraw = True
24.0718 	EXP 	fixation: autoDraw = False
24.3389 	EXP 	grating: autoDraw = True
25.0213 	DATA 	Keypress: right
25.0227 	EXP 	window1: recordFrameIntervals = False
25.0378 	EXP 	fixation: autoDraw = False
25.0378 	EXP 	grating: autoDraw = False
25.0378 	EXP 	grating: color = '[0.52406749 0.52406749 0.52406749] (rgb)'
25.0378 	EXP 	grating: size = array([3.6, 3.6])
25.0378 	EXP 	grating: ori = 0.0
25.0378 	EXP 	grating: sf = array([12., 12.])
25.0379 	EXP 	window1: recordFrameIntervals = False
25.3035 	EXP 	fixation: autoDraw = True
25.7885 	EXP 	fixation: autoDraw = False
26.0556 	EXP 	grating: autoDraw = True
26.5563 	DATA 	Keypress: right
26.5578 	EXP 	window1: recordFrameIntervals = False
26.5727 	EXP 	fixation: autoDraw = False
26.5727 	EXP 	grating: autoDraw = False
26.5727 	EXP 	grating: color = '[0.02506749 0.02506749 0.02506749] (rgb)'
26.5727 	EXP 	grating: size = array([3.6, 3.6])
26.5727 	EXP 	grating: ori = 0.0
26.5727 	EXP 	grating: sf = array([12., 12.])
26.5728 	EXP 	window1: recordFrameIntervals = False
26.8396 	EXP 	fixation: autoDraw = True
27.3245 	EXP 	fixation: autoDraw = False
27.5746 	EXP 	grating: autoDraw = True
28.3575 	DATA 	Keypress: right
28.3588 	EXP 	window1: recordFrameIntervals = False
28.3741 	EXP 	fixation: autoDraw = False
28.3741 	EXP 	grating: autoDraw = False
28.3741 	EXP 	grating: color = '[0.02506749 0.02506749 0.02506749] (rgb)'
28.3741 	EXP 	grating: size = array([3.6, 3.6])
28.3741 	EXP 	grating: ori = 90.0
28.3741 	EXP 	grating: sf = array([1.2, 1.2])
28.3742 	EXP 	window1: recordFrameIntervals = False
28.6404 	EXP 	fixation: autoDraw = True
29.1257 	EXP 	fixation: autoDraw = False
29.3757 	EXP 	grating: autoDraw = True
30.3440 	DATA 	Keypress: up
30.3452 	DATA 	Keypress: right
30.3466 	EXP 	window1: recordFrameIntervals = False
30.3575 	EXP 	fixation: autoDraw = False
30.3575 	EXP 	grating: autoDraw = False
30.3575 	EXP 	grating: color = '[0.52406749 0.52406749 0.52406749] (rgb)'
30.3575 	EXP 	grating: size = array([3.6, 3.6])
30.3575 	EXP 	grating: ori = 90.0
30.3575 	EXP 	grating: sf = array([1.2, 1.2])
30.3577 	EXP 	window1: recordFrameIntervals = False
30.6256 	EXP 	fixation: autoDraw = True
31.1107 	EXP 	fixation: autoDraw = False
31.3776 	EXP 	grating: autoDraw = True
32.0945 	DATA 	Keypress: up
32.0960 	EXP 	window1: recordFrameIntervals = False
32.1090 	EXP 	fixation: autoDraw = False
32.1090 	EXP 	grating: autoDraw = False
32.1090 	EXP 	grating: color = '[0.04097471 0.04097471 0.04097471] (rgb)'
32.1090 	EXP 	grating: size = array([3.6, 3.6])
32.1090 	EXP 	grating: ori = 90.0
32.1090 	EXP 	grating: sf = array([12., 12.])
32.1091 	EXP 	window1: recordFrameIntervals = False
32.3759 	EXP 	fixation: autoDraw = True
32.8600 	EXP 	fixation: autoDraw = False
33.1270 	EXP 	grating: autoDraw = True
34.4302 	DATA 	Keypress: up
34.4316 	EXP 	window1: recordFrameIntervals = False
34.4447 	EXP 	fixation: autoDraw = False
34.4447 	EXP 	grating: autoDraw = False
34.4447 	EXP 	grating: color = '[0.04097471 0.04097471 0.04097471] (rgb)'
34.4447 	EXP 	grating: size = array([3.6, 3.6])
34.4447 	EXP 	grating: ori = 0.0
34.4447 	EXP 	grating: sf = array([1.2, 1.2])
34.4448 	EXP 	window1: recordFrameIntervals = False
34.7136 	EXP 	fixation: autoDraw = True
35.1975 	EXP 	fixation: autoDraw = False
35.4643 	EXP 	grating: autoDraw = True
35.9806 	DATA 	Keypress: right
35.9822 	EXP 	window1: recordFrameIntervals = False
35.9957 	EXP 	fixation: autoDraw = False
35.9957 	EXP 	grating: autoDraw = False
35.9957 	EXP 	grating: color = '[0.53997471 0.53997471 0.53997471] (rgb)'
35.9957 	EXP 	grating: size = array([3.6, 3.6])
35.9957 	EXP 	grating: ori = 90.0
35.9957 	EXP 	grating: sf = array([12., 12.])
35.9958 	EXP 	window1: recordFrameIntervals = False
36.2628 	EXP 	fixation: autoDraw = True
36.7462 	EXP 	fixation: autoDraw = False
37.0131 	EXP 	grating: autoDraw = True
38.3323 	DATA 	Keypress: up
38.3337 	EXP 	window1: recordFrameIntervals = False
38.3477 	EXP 	fixation: autoDraw = False
38.3477 	EXP 	grating: autoDraw = False
38.3477 	EXP 	grating: color = '[0.53997471 0.53997471 0.53997471] (rgb)'
38.3477 	EXP 	grating: size = array([3.6, 3.6])
38.3477 	EXP 	grating: ori = 0.0
38.3477 	EXP 	grating: sf = array([1.2, 1.2])
38.3478 	EXP 	window1: recordFrameIntervals = False
38.6156 	EXP 	fixation: autoDraw = True
39.1009 	EXP 	fixation: autoDraw = False
39.3507 	EXP 	grating: autoDraw = True
39.9506 	DATA 	Keypress: right
39.9519 	EXP 	window1: recordFrameIntervals = False
39.9657 	EXP 	fixation: autoDraw = False
39.9657 	EXP 	grating: autoDraw = False
39.9657 	EXP 	grating: color = '[0.55498187 0.55498187 0.55498187] (rgb)'
39.9657 	EXP 	grating: size = array([3.6, 3.6])
39.9657 	EXP 	grating: ori = 90.0
39.9657 	EXP 	grating: sf = array([1.2, 1.2])
39.9659 	EXP 	window1: recordFrameIntervals = False
40.2330 	EXP 	fixation: autoDraw = True
40.7162 	EXP 	fixation: autoDraw = False
40.9832 	EXP 	grating: autoDraw = True
41.7188 	DATA 	Keypress: up
41.7204 	EXP 	window1: recordFrameIntervals = False
41.7347 	EXP 	fixation: autoDraw = False
41.7347 	EXP 	grating: autoDraw = False
