endInstructions.keys,endInstructions.rt,trials.label,trials.startVal,trials.startValSd,trials.stim_diam_degs,trials.SF,trials.TF,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,session,participant,date,expName,psychopyVersion,frameRate,
space,1.4606275109981652,,,,,,,,,,,,,,,,,,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,1,0,start,4,lin,0.5,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,1,1,start,4,lin,0.5,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,2,2,start,4,lin,0.5240674859355188,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,2,3,start,4,lin,0.5240674859355188,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,3,4,start,4,lin,0.5399747081069984,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,3,5,start,4,lin,0.5399747081069984,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,4,6,start,4,lin,0.5549818653929014,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,4,7,start,4,lin,0.5549818653929014,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,5,8,start,4,lin,0.5682271588280314,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,5,9,start,4,lin,0.5682271588280314,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,6,10,start,4,lin,0.5812533968022043,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,6,11,start,4,lin,0.5812533968022043,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,7,12,start,4,lin,0.5932620371511558,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
