endInstructions.keys,endInstructions.rt,trials.label,trials.startVal,trials.startValSd,trials.stim_diam_degs,trials.SF,trials.TF,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,session,participant,date,expName,psychopyVersion,frameRate,
space,13.797839432023466,,,,,,,,,,,,,,,,,,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,1,0,start,4,lin,0.001,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,1,1,start,4,lin,0.001,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,1,2,start,4,lin,0.3,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,1,3,start,4,lin,0.3,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,2,4,start,4,lin,0.02506748593551877,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,2,5,start,4,lin,0.02506748593551877,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,2,6,start,4,lin,0.32406748593551876,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,2,7,start,4,lin,0.32406748593551876,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,3,8,start,4,lin,0.3399747081069985,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,3,9,start,4,lin,0.040974708106998485,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,3,10,start,4,lin,0.3399747081069985,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,3,11,start,4,lin,0.040974708106998485,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,4,12,start,4,lin,0.3549818653929014,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,4,13,start,4,lin,0.0559818653929014,0,001,000,2019_Sep_20_1201,interleaved_QUEST_staircase_contrast,3.0.2,1,
,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,4,14,start,4,lin,0.3549818653929014,,,,,,,,
