practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,setup_text.started,setup_text.stopped,instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,ISI.started,ISI.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,theshold_estimation_trials.label,theshold_estimation_trials.startVal,theshold_estimation_trials.startValSd,theshold_estimation_trials.stim_diam_degs,theshold_estimation_trials.SF,theshold_estimation_trials.TF,theshold_estimation_trials.stepSizes,theshold_estimation_trials.maxVal,theshold_estimation_trials.minVal,theshold_estimation_trials.thisIndex,theshold_estimation_trials.thisRepN,theshold_estimation_trials.thisN,theshold_estimation_trials.direction,theshold_estimation_trials.stepSize,theshold_estimation_trials.stepType,theshold_estimation_trials.intensity,participant,sex,date,expName,psychopyVersion,frameRate,
,,,,10.982749720002175,None,11.487159163996694,None,space,0.42644780401315074,11.487159163996694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
0,0,0,0,,,,,,,,,0.013416868998319842,None,12.182214493994252,12.78252620899002,12.91516469499038,None,left,0,0.47041171199816745,12.91516469499038,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
1,0,1,0,,,,,,,,,0.010693599004298449,None,13.665362075989833,14.265672099994845,14.3985262579954,None,up,0,0.4430265289993258,14.3985262579954,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
2,0,2,0,,,,,,,,,0.012469448993215337,None,15.115197745995829,15.715552658002707,15.848855948992423,None,up,0,0.6086779409961309,15.848855948992423,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
3,0,3,0,,,,,,,,,0.011506138980621472,None,16.731606328001362,17.332141282997327,17.465282908990048,None,left,0,0.3762890669895569,17.465282908990048,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
4,0,4,0,,,,,,,,,0.011761913992813788,None,18.11571815199568,18.71519236799213,18.84891890900326,None,up,0,0.4646791289997054,18.84891890900326,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
5,0,5,0,,,,,,,,,0.011320341014652513,None,19.58219080399431,20.18164189599338,20.31565341100213,None,up,0,0.5259312220005086,20.31565341100213,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
6,0,6,0,,,,,,,,,0.012888226003269665,None,21.111733869998716,21.716476418994716,21.84901007899316,None,left,0,0.5605085689894622,21.84901007899316,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
7,0,7,0,,,,,,,,,0.012287955003557727,None,22.68243634799728,23.282599199999822,23.415959972000564,None,up,0,0.5456269560090732,23.415959972000564,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
8,0,8,0,,,,,,,,,0.012470635992940515,None,24.23223343800055,24.831894978997298,24.966028687995276,None,left,0,0.5875569659983739,24.966028687995276,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
9,0,9,0,,,,,,,,,0.010778264986583963,None,25.83309457899304,26.44920831399213,26.565186744002858,None,left,0,1.0923616889922414,26.565186744002858,None,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
,,,,,,,,,,,,,,,,,,,,,,,27.68237237399444,None,lcommand,4.335184538998874,27.68237237399444,None,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1127,contrast_sensitivity_abramov,3.2.4,60.15826906878546,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,1,0,start,4,lin,0.5,,,,,,,
