practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,setup_text.started,setup_text.stopped,instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,ISI.started,ISI.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,theshold_estimation_trials.label,theshold_estimation_trials.startVal,theshold_estimation_trials.startValSd,theshold_estimation_trials.stim_diam_degs,theshold_estimation_trials.SF,theshold_estimation_trials.TF,theshold_estimation_trials.stepSizes,theshold_estimation_trials.maxVal,theshold_estimation_trials.minVal,theshold_estimation_trials.thisIndex,theshold_estimation_trials.thisRepN,theshold_estimation_trials.thisN,theshold_estimation_trials.direction,theshold_estimation_trials.stepSize,theshold_estimation_trials.stepType,theshold_estimation_trials.intensity,theshold_estimation_trials.response,thanksMsg.started,thanksMsg.stopped,participant,sex,date,expName,psychopyVersion,frameRate,
,,,,11.050629249992198,None,12.91195940200123,None,space,0.5542547350050882,12.91195940200123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
0,0,0,0,,,,,,,,,0.014331825805129483,None,13.744370458996855,14.360720643991954,14.473948831000598,None,left,0,0.512269697006559,14.473948831000598,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
1,0,1,0,,,,,,,,,0.012224518810398877,None,15.256779663002817,15.85685887800355,15.9903945249971,None,up,0,0.39585228300711606,15.9903945249971,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
2,0,2,0,,,,,,,,,0.013164594798581675,None,16.656883237999864,17.25686295000196,17.38983476899739,None,left,0,0.3003601590025937,17.38983476899739,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
3,0,3,0,,,,,,,,,0.01062495680525899,None,17.95671440899605,18.55792849799036,18.689809862989932,None,left,0,0.5043714830098907,18.689809862989932,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
4,0,4,0,,,,,,,,,0.013495077801053412,None,19.473598668002523,20.073272091001854,20.20704538199061,None,up,0,0.44316444000287447,20.20704538199061,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
5,0,5,0,,,,,,,,,0.012134503820561804,None,20.9231083689956,21.523466596991057,21.65698096099368,None,up,0,0.5212279480037978,21.65698096099368,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
6,0,6,0,,,,,,,,,0.01258257580047939,None,22.45681917699403,23.056795639000484,23.18892231499194,None,left,0,0.4214811220008414,23.18892231499194,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
7,0,7,0,,,,,,,,,0.012377078819554299,None,23.889212123991456,24.490652123000473,24.622916142994654,None,up,0,0.34736291400622576,24.622916142994654,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
8,0,8,0,,,,,,,,,0.011314226809190586,None,25.2393474720011,25.839113369991537,25.973423720002756,None,up,0,0.4128181289997883,25.973423720002756,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
9,0,9,0,,,,,,,,,0.012251403808477335,None,26.657194072002312,27.256993112998316,27.38993885499076,None,up,0,0.4203038910054602,27.38993885499076,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,27.83994900599646,None,space,2.554325703997165,27.83994900599646,None,,,,,,,,,,,,,,,,,,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.5,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,1,1,start,4,lin,0.5,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,2,2,start,4,lin,0.5240674859355188,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
