11.1335 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
11.9401 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12d52d860>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1301fc5f8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.2749 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=90.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([3.5, 3.5]), tex='sin', texRes=128, units='deg', win=Window(...))
12.2899 	EXP 	grating_S1_T5: phase = 0.0
12.3074 	EXP 	grating_S1_T5: phase = 0.0
12.3226 	EXP 	grating_S1_T5: phase = 0.0
12.3397 	EXP 	grating_S1_T5: phase = 0.0
12.3564 	EXP 	grating_S1_T5: phase = 0.0
12.3724 	EXP 	grating_S1_T5: phase = 0.0
12.3897 	EXP 	grating_S1_T5: phase = 0.0
12.4059 	EXP 	grating_S1_T5: phase = 0.0
12.4226 	EXP 	grating_S1_T5: phase = 0.0
12.4388 	EXP 	grating_S1_T5: phase = 0.0
12.4563 	EXP 	grating_S1_T5: phase = 0.0
12.4732 	EXP 	grating_S1_T5: phase = 0.0
12.4897 	EXP 	grating_S1_T5: phase = 0.0
12.5060 	EXP 	grating_S1_T5: phase = 0.0
12.5228 	EXP 	grating_S1_T5: phase = 0.0
12.5393 	EXP 	grating_S1_T5: phase = 0.0
12.5562 	EXP 	grating_S1_T5: phase = 0.0
12.5738 	EXP 	grating_S1_T5: phase = 0.0
12.5896 	EXP 	grating_S1_T5: phase = 0.0
12.6059 	EXP 	grating_S1_T5: phase = 0.0
12.6229 	EXP 	grating_S1_T5: phase = 0.0
12.6397 	EXP 	grating_S1_T5: phase = 0.0
12.6555 	EXP 	grating_S1_T5: phase = 0.0
12.6726 	EXP 	grating_S1_T5: phase = 0.0
12.6893 	EXP 	grating_S1_T5: phase = 0.0
12.7063 	EXP 	grating_S1_T5: phase = 0.0
12.7222 	EXP 	grating_S1_T5: phase = 0.0
12.7399 	EXP 	grating_S1_T5: phase = 0.0
12.7554 	EXP 	grating_S1_T5: phase = 0.0
12.7725 	EXP 	grating_S1_T5: phase = 0.0
12.7896 	EXP 	grating_S1_T5: phase = 0.0
12.8063 	EXP 	grating_S1_T5: phase = 0.5
12.8226 	EXP 	grating_S1_T5: phase = 0.5
12.8398 	EXP 	grating_S1_T5: phase = 0.5
12.8565 	EXP 	grating_S1_T5: phase = 0.5
12.8732 	EXP 	grating_S1_T5: phase = 0.5
12.8899 	EXP 	grating_S1_T5: phase = 0.5
12.9058 	EXP 	grating_S1_T5: phase = 0.5
12.9229 	EXP 	grating_S1_T5: phase = 0.5
12.9404 	EXP 	grating_S1_T5: phase = 0.5
12.9564 	EXP 	grating_S1_T5: phase = 0.5
12.9722 	EXP 	grating_S1_T5: phase = 0.5
12.9887 	EXP 	grating_S1_T5: phase = 0.5
13.0067 	EXP 	grating_S1_T5: phase = 0.5
13.0222 	EXP 	grating_S1_T5: phase = 0.5
13.0395 	EXP 	grating_S1_T5: phase = 0.5
13.0562 	EXP 	grating_S1_T5: phase = 0.5
13.0723 	EXP 	grating_S1_T5: phase = 0.5
13.0896 	EXP 	grating_S1_T5: phase = 0.5
13.1075 	EXP 	grating_S1_T5: phase = 0.5
13.1234 	EXP 	grating_S1_T5: phase = 0.5
13.1402 	EXP 	grating_S1_T5: phase = 0.5
13.1564 	EXP 	grating_S1_T5: phase = 0.5
13.1733 	EXP 	grating_S1_T5: phase = 0.5
13.1897 	EXP 	grating_S1_T5: phase = 0.5
13.2064 	EXP 	grating_S1_T5: phase = 0.5
13.2218 	EXP 	grating_S1_T5: phase = 0.5
13.2394 	EXP 	grating_S1_T5: phase = 0.5
13.2560 	EXP 	grating_S1_T5: phase = 0.5
13.2726 	EXP 	grating_S1_T5: phase = 0.5
13.2881 	EXP 	grating_S1_T5: phase = 0.5
13.3064 	EXP 	grating_S1_T5: phase = 0.0
13.3227 	EXP 	grating_S1_T5: phase = 0.0
13.3399 	EXP 	grating_S1_T5: phase = 0.0
13.3559 	EXP 	grating_S1_T5: phase = 0.0
13.3729 	EXP 	grating_S1_T5: phase = 0.0
13.3893 	EXP 	grating_S1_T5: phase = 0.0
13.4060 	EXP 	grating_S1_T5: phase = 0.0
13.4232 	EXP 	grating_S1_T5: phase = 0.0
13.4401 	EXP 	grating_S1_T5: phase = 0.0
13.4552 	EXP 	grating_S1_T5: phase = 0.0
13.4721 	EXP 	grating_S1_T5: phase = 0.0
13.4899 	EXP 	grating_S1_T5: phase = 0.0
13.5054 	EXP 	grating_S1_T5: phase = 0.0
13.5234 	EXP 	grating_S1_T5: phase = 0.0
13.5398 	EXP 	grating_S1_T5: phase = 0.0
13.5561 	EXP 	grating_S1_T5: phase = 0.0
13.5729 	EXP 	grating_S1_T5: phase = 0.0
13.5894 	EXP 	grating_S1_T5: phase = 0.0
13.6058 	EXP 	grating_S1_T5: phase = 0.0
13.6223 	EXP 	grating_S1_T5: phase = 0.0
13.6398 	EXP 	grating_S1_T5: phase = 0.0
13.6556 	EXP 	grating_S1_T5: phase = 0.0
13.6726 	EXP 	grating_S1_T5: phase = 0.0
13.6904 	EXP 	grating_S1_T5: phase = 0.0
13.7068 	EXP 	grating_S1_T5: phase = 0.0
13.7221 	EXP 	grating_S1_T5: phase = 0.0
13.7392 	EXP 	grating_S1_T5: phase = 0.0
13.7568 	EXP 	grating_S1_T5: phase = 0.0
13.7732 	EXP 	grating_S1_T5: phase = 0.0
13.7901 	EXP 	grating_S1_T5: phase = 0.0
13.8063 	EXP 	grating_S1_T5: phase = 0.5
13.8230 	EXP 	grating_S1_T5: phase = 0.5
13.8398 	EXP 	grating_S1_T5: phase = 0.5
13.8566 	EXP 	grating_S1_T5: phase = 0.5
13.8727 	EXP 	grating_S1_T5: phase = 0.5
13.8897 	EXP 	grating_S1_T5: phase = 0.5
13.9049 	EXP 	grating_S1_T5: phase = 0.5
13.9217 	EXP 	grating_S1_T5: phase = 0.5
13.9388 	EXP 	grating_S1_T5: phase = 0.5
13.9560 	EXP 	grating_S1_T5: phase = 0.5
13.9712 	EXP 	grating_S1_T5: phase = 0.5
13.9877 	EXP 	grating_S1_T5: phase = 0.5
14.0049 	EXP 	grating_S1_T5: phase = 0.5
14.0222 	EXP 	grating_S1_T5: phase = 0.5
14.0382 	EXP 	grating_S1_T5: phase = 0.5
14.0550 	EXP 	grating_S1_T5: phase = 0.5
14.0727 	EXP 	grating_S1_T5: phase = 0.5
14.0885 	EXP 	grating_S1_T5: phase = 0.5
14.1052 	EXP 	grating_S1_T5: phase = 0.5
14.1222 	EXP 	grating_S1_T5: phase = 0.5
14.1388 	EXP 	grating_S1_T5: phase = 0.5
14.1557 	EXP 	grating_S1_T5: phase = 0.5
14.1736 	EXP 	grating_S1_T5: phase = 0.5
14.1896 	EXP 	grating_S1_T5: phase = 0.5
14.2051 	EXP 	grating_S1_T5: phase = 0.5
14.2216 	EXP 	grating_S1_T5: phase = 0.5
14.2394 	EXP 	grating_S1_T5: phase = 0.5
14.2558 	EXP 	grating_S1_T5: phase = 0.5
